idseq,datetime,subtype,srcip,srcport,srcintf,dstip,dstport,dstintf,action,sentpkt,rcvdpkt,duration,service,devtype,level,crscore,crlevel,is_attack
,2025-10-07 08:54:22,forward,79.124.40.106,47304,wan1,220.130.36.69,9148,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:22,forward,79.124.40.106,47304,wan1,220.130.36.69,9148,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:14,forward,79.124.40.126,53725,wan1,220.130.36.69,10000,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:14,forward,79.124.40.126,53725,wan1,220.130.36.69,10000,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:12,forward,185.94.111.1,35912,wan1,220.130.36.69,137,internal1,accept,1,0,181,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:12,forward,185.94.111.1,35912,wan1,220.130.36.69,137,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:08,forward,89.248.169.50,49482,wan1,220.130.36.69,33446,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:08,forward,89.248.169.50,49482,wan1,220.130.36.69,33446,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:06,forward,95.214.55.218,41364,wan1,220.130.36.69,60023,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:06,forward,95.214.55.218,41364,wan1,220.130.36.69,60023,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:06,forward,193.163.125.186,58222,wan1,220.130.36.69,21253,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:06,forward,193.163.125.186,58222,wan1,220.130.36.69,21253,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:04,forward,198.235.24.186,51537,wan1,220.130.36.69,2080,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:04,forward,198.235.24.186,51537,wan1,220.130.36.69,2080,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:00,forward,193.46.255.83,57085,wan1,220.130.36.69,443,internal1,timeout,1,0,11,https,unknown,notice,0,none,0
,2025-10-07 08:54:00,forward,193.46.255.83,57085,wan1,220.130.36.69,443,internal1,ipconn,0,0,0,https,unknown,warning,5,low,1
,2025-10-07 08:53:50,forward,89.248.169.50,49482,wan1,220.130.36.69,33422,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:53:50,forward,89.248.169.50,49482,wan1,220.130.36.69,33422,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:53:35,forward,79.124.40.86,56626,wan1,220.130.36.69,9047,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:53:35,forward,79.124.40.86,56626,wan1,220.130.36.69,9047,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:53:35,forward,88.210.63.63,59085,wan1,220.130.36.69,8935,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:53:35,forward,88.210.63.63,59085,wan1,220.130.36.69,8935,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:53:29,forward,10.4.168.70,9080,internal1,61.30.27.170,7760,wan1,accept,773883,72509,7246359,unknown,unknown,notice,0,none,0
,2025-10-07 08:53:17,forward,167.94.145.82,55364,wan1,220.130.36.69,39485,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:53:17,forward,167.94.145.82,55364,wan1,220.130.36.69,39485,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:53:09,forward,45.136.68.53,56414,wan1,220.130.36.69,61111,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:53:09,forward,45.136.68.53,56414,wan1,220.130.36.69,61111,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:53:07,forward,92.63.197.46,59189,wan1,220.130.36.69,11783,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:53:07,forward,92.63.197.46,59189,wan1,220.130.36.69,11783,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:53:04,forward,45.136.68.55,56471,wan1,220.130.36.69,9478,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:53:04,forward,45.136.68.55,56471,wan1,220.130.36.69,9478,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:53:00,forward,10.4.168.70,9080,internal1,61.65.6.129,5060,wan1,accept,1932806,1927831,7246328,sip,unknown,notice,0,none,0
,2025-10-07 08:52:56,forward,162.216.150.55,53454,wan1,220.130.36.69,45832,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:52:56,forward,162.216.150.55,53454,wan1,220.130.36.69,45832,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:52:50,forward,92.63.197.66,8080,wan1,220.130.36.69,3682,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:52:50,forward,92.63.197.66,8080,wan1,220.130.36.69,3682,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:52:49,forward,185.244.104.2,37387,wan1,220.130.36.69,443,internal1,timeout,1,0,11,https,unknown,notice,0,none,0
,2025-10-07 08:52:49,forward,185.244.104.2,37387,wan1,220.130.36.69,443,internal1,ipconn,0,0,0,https,unknown,warning,5,low,1
,2025-10-07 08:52:42,forward,165.154.237.253,58914,wan1,220.130.36.69,110,internal1,timeout,1,0,11,pop3,unknown,notice,0,none,0
,2025-10-07 08:52:42,forward,165.154.237.253,58914,wan1,220.130.36.69,110,internal1,ipconn,0,0,0,pop3,unknown,warning,5,low,1
,2025-10-07 08:52:36,forward,112.4.101.33,48513,wan1,220.130.36.69,10612,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:52:36,forward,112.4.101.33,48513,wan1,220.130.36.69,10612,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:52:34,forward,198.235.24.214,54683,wan1,220.130.36.69,1717,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:52:34,forward,198.235.24.214,54683,wan1,220.130.36.69,1717,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:52:31,forward,10.4.168.70,9080,internal1,61.65.15.173,5060,wan1,accept,1946681,1940442,7246306,sip,unknown,notice,0,none,0
,2025-10-07 08:52:29,forward,10.4.168.70,9080,internal1,61.61.136.70,5060,wan1,accept,1288258,1287174,7246302,sip,unknown,notice,0,none,0
,2025-10-07 08:52:28,forward,176.65.148.215,54862,wan1,220.130.36.69,24313,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:52:28,forward,176.65.148.215,54862,wan1,220.130.36.69,24313,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:52:12,forward,108.167.178.116,60001,wan1,220.130.36.69,3003,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:52:12,forward,108.167.178.116,60001,wan1,220.130.36.69,3003,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:52:06,forward,91.92.242.58,54175,wan1,220.130.36.69,25,internal1,timeout,3,0,20,smtp,unknown,notice,0,none,0
,2025-10-07 08:52:06,forward,91.92.242.58,54175,wan1,220.130.36.69,25,internal1,ipconn,0,0,0,smtp,unknown,warning,5,low,1
,2025-10-07 08:51:55,forward,167.99.122.202,61001,wan1,220.130.36.69,13000,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:51:55,forward,167.99.122.202,61001,wan1,220.130.36.69,13000,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:51:51,forward,92.63.197.66,8080,wan1,220.130.36.69,3566,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:51:51,forward,92.63.197.66,8080,wan1,220.130.36.69,3566,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:51:43,forward,220.130.71.75,2603,wan1,220.130.36.69,139,internal1,timeout,1,0,11,samba,unknown,notice,0,none,0
,2025-10-07 08:51:43,forward,220.130.71.75,2603,wan1,220.130.36.69,139,internal1,ipconn,0,0,0,samba,unknown,warning,5,low,1
,2025-10-07 08:51:42,forward,167.94.138.146,13038,wan1,220.130.36.69,6008,internal1,timeout,1,0,11,xwindows,unknown,notice,0,none,0
,2025-10-07 08:51:42,forward,167.94.138.146,13038,wan1,220.130.36.69,6008,internal1,ipconn,0,0,0,xwindows,unknown,warning,5,low,1
,2025-10-07 08:51:41,forward,148.153.56.174,48780,wan1,220.130.36.69,4003,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:51:41,forward,148.153.56.174,48780,wan1,220.130.36.69,4003,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:51:33,forward,92.63.197.66,8080,wan1,220.130.36.69,3388,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:51:33,forward,92.63.197.66,8080,wan1,220.130.36.69,3388,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
